Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dillon Brooks,SF,25,MEM,63,63,29.6,6.3,15.0,.417,1.9,5.5,.349,4.3,9.5,.457,.481,2.3,2.8,.826,0.8,2.1,2.9,2.3,1.1,0.3,1.8,3.6,16.8
Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
Jaren Jackson Jr.,C,21,MEM,8,1,22.5,4.9,11.6,.419,1.5,5.5,.273,3.4,6.1,.551,.484,3.8,4.5,.833,1.3,4.0,5.3,0.9,1.0,1.3,1.1,3.8,15.0
Sean McDermott,SF,24,MEM,18,0,8.8,0.7,1.8,.394,0.3,1.2,.227,0.4,0.6,.727,.470,0.4,0.4,1.000,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2
Killian Tillie,C,22,MEM,16,0,8.1,0.8,2.6,.310,0.4,1.6,.231,0.4,1.0,.438,.381,0.4,0.4,.857,0.4,0.7,1.1,0.3,0.3,0.4,0.1,1.1,2.4
Jonas Valančiūnas,C,28,MEM,59,58,28.1,7.0,12.0,.582,0.4,1.0,.368,6.6,11.0,.601,.597,2.4,3.2,.759,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,16.7
Justise Winslow,SF,24,MEM,24,0,19.3,2.7,8.0,.340,0.3,2.0,.125,2.5,6.0,.413,.356,0.7,1.2,.586,0.7,3.6,4.3,1.8,0.6,0.5,1.4,1.8,6.4
